State,Abbr,Preliminary Notice Deadline,Lien Filing Deadline,Enforcement Deadline,Statute Citation,Statute URL,Last Verified,Special Notes
Missouri,MO,5 days before filing (residential),6 months from last furnishing,6 months after filing,Mo. Rev. Stat. ch. 429,https://revisor.mo.gov/main/OneChapter.aspx?chapter=429,2026-08-14,Residential requires 10-day pre-lien notice
Montana,MT,20 days from first furnishing (residential),90 days from last furnishing,2 years after filing,Mont. Code § 71-3-521 et seq.,https://archive.legmt.gov/bills/mca/title_0710/chapter_0030/part_0050/sections_index.html,2026-08-14,Notice of right to claim lien required
Nebraska,NE,N/A,120 days from last furnishing,2 years after filing,Neb. Rev. Stat. § 52-121 et seq.,https://nebraskalegislature.gov/laws/statutes.php?statute=52-121,2026-08-14,Must include verified itemized statement
Nevada,NV,45 days from first furnishing (residential),90 days from last furnishing,6 months after filing,Nev. Rev. Stat. § 108.221 et seq.,https://www.leg.state.nv.us/NRS/NRS-108.html,2026-08-14,Notice of right to lien required for all
New Hampshire,NH,N/A,120 days from last furnishing,120 days after filing,N.H. Rev. Stat. § 447:1 et seq.,https://www.gencourt.state.nh.us/rsa/html/447/447-1.htm,2026-08-14,Must file attested account
New Jersey,NJ,60 days from last furnishing (residential),90 days from last furnishing (120 days for residential),1 year after filing,N.J. Stat. § 2A:44A-1 et seq.,https://lis.njleg.state.nj.us/nxt/gateway.dll?f=templates&fn=default.htm&vid=Publish:10.1048/Enu,2026-08-14,NOC filing can shorten deadlines
New Mexico,NM,60 days from first furnishing (commercial),120 days from last furnishing,2 years after filing,N.M. Stat. § 48-2-1 et seq.,https://nmonesource.com/nmos/enus/Statutes/NMSA1978/NMSA1978-048-002/NMSA1978-048-002-1,2026-08-14,Notice of claim of lien required
New York,NY,N/A,8 months from last furnishing (commercial),1 year after filing,N.Y. Lien Law art. 2,https://www.nysenate.gov/legislation/laws/LIE/A2,2026-08-14,Residential: 4 months filing deadline
North Carolina,NC,15 days from first furnishing (subcontractors),120 days from last furnishing,180 days after filing,N.C. Gen. Stat. § 44A-1 et seq.,https://www.ncleg.gov/EnactedLegislation/Statutes/HTML/ByChapter/Chapter_44A.html,2026-08-14,Notice of claim of lien on funds required
North Dakota,ND,N/A,90 days from last furnishing,3 years after filing,N.D. Cent. Code § 35-27-01 et seq.,https://www.legis.nd.gov/cencode/t35c27.pdf,2026-08-14,Must include itemized statement
Ohio,OH,21 days from first furnishing (residential),75 days from last furnishing (60 days residential),6 years after filing,Ohio Rev. Code § 1311.01 et seq.,https://codes.ohio.gov/ohio-revised-code/chapter-1311,2026-08-14,Notice of furnishing required for all tiers
Oklahoma,OK,75 days from last furnishing (residential),4 months from last furnishing,1 year after filing,Okla. Stat. tit. 42 § 141 et seq.,https://www.oscn.net/applications/oscn/index.asp?ftdb=ST42ST141&level=1,2026-08-14,Pre-lien notice required for residential
Oregon,OR,8 days before first furnishing (residential),75 days from last furnishing,120 days after filing,Or. Rev. Stat. § 87.005 et seq.,https://www.oregonlegislature.gov/bills_laws/ors/ors087.html,2026-08-14,Notice of right to lien required for all
Pennsylvania,PA,30 days from first furnishing (subcontractors),6 months from last furnishing,2 years after filing,49 Pa. Stat. § 1101 et seq.,https://www.legis.state.pa.us/cfdocs/legis/LI/consCheck.cfm?txtType=HTM&ttl=49&div=0&chpt=11,2026-08-14,Formal notice of intention to file required
Rhode Island,RI,N/A,200 days from last furnishing,40 days after notice,R.I. Gen. Laws § 34-28-1 et seq.,http://webserver.rilin.state.ri.us/Statutes/TITLE34/34-28/INDEX.HTM,2026-08-14,Must file notice of intention
South Carolina,SC,15 days before first furnishing (residential),90 days from last furnishing,6 months after filing,S.C. Code § 29-5-10 et seq.,https://www.scstatehouse.gov/code/t29c005.php,2026-08-14,Notice of furnishing required
South Dakota,SD,N/A,120 days from last furnishing,1 year after filing,S.D. Codified Laws § 44-9-1 et seq.,https://sdlegislature.gov/Statutes/Codified_Laws/DisplayStatute.aspx?Type=Statute&Statute=44-9-1,2026-08-14,Must include verified itemized account
Tennessee,TN,N/A,90 days from last furnishing,1 year after filing,Tenn. Code § 66-11-101 et seq.,https://law.justia.com/codes/tennessee/title-66/chapter-11/part-1/section-66-11-101/,2026-08-14,Notice of nonpayment may be required
Texas,TX,15th day of 2nd month after work (residential),15th day of 4th month from last furnishing,1 year after filing (2 years for residential),Tex. Prop. Code ch. 53,https://statutes.capitol.texas.gov/Docs/PR/htm/PR.53.htm,2026-08-14,Strict deadlines — miss by one day and lien is void
Utah,UT,20 days from first furnishing,180 days after completion of original contract,180 days after filing,Utah Code § 38-1a-101 et seq.,https://le.utah.gov/xcode/Title38/Chapter1A/38-1a.html,2026-08-14,Notice of pre-lien required
Vermont,VT,N/A,180 days from last furnishing,1 year after filing,9 V.S.A. § 1921 et seq.,https://legislature.vermont.gov/statutes/chapter/09/051,2026-08-14,Must file notice of lien
Virginia,VA,30 days from first furnishing (residential),90 days from last furnishing,6 months after filing,Va. Code § 43-1 et seq.,https://law.lis.virginia.gov/vacodefull/title43/chapter1/,2026-08-14,Must include memorandum of lien
Washington,WA,10 days before first furnishing (residential),90 days from last furnishing,8 months after filing,RCW ch. 60.04,https://app.leg.wa.gov/RCW/default.aspx?cite=60.04,2026-08-14,Notice to owner/customer is strictly required
West Virginia,WV,N/A,100 days from last furnishing,6 months after filing,W. Va. Code § 38-2-1 et seq.,http://www.wvlegislature.gov/wvcode/code.cfm?chap=38&art=2,2026-08-14,Notice of mechanics lien required
Wisconsin,WI,60 days from first furnishing (residential),6 months from last furnishing,2 years after filing,Wis. Stat. § 779.01 et seq.,https://docs.legis.wisconsin.gov/statutes/statutes/779,2026-08-14,Notice of intent to file lien required
Wyoming,WY,30 days from first furnishing (commercial),120 days from last furnishing (commercial),180 days after filing,Wyo. Stat. § 29-1-301 et seq.,https://www.wyoleg.gov/statutes/title29,2026-08-14,Notice of intent to lien required
